Jahr;Schulgemeinde;Bildungsart_2;students;per;esd;acs
2015;Letzi;Sekundarstufe B;372;48.1;0.15860215053763438;18
2015;Limmattal;Sekundarstufe A;272;49.2;0.2683823529411765;14
2015;Limmattal;Sekundarstufe B;281;50.8;0.08540925266903909;12
2015;Schwamendingen;Sekundarstufe A;385;49;0.24935064935064932;17
2015;Schwamendingen;Sekundarstufe B;401;51;0.15710723192019949;16
2015;Uto;Sekundarstufe A;486;57.6;0.5390946502057613;21
2015;Uto;Sekundarstufe B;358;42.4;0.1983240223463687;17
2015;Waidberg;Sekundarstufe A;510;70.6;0.6529411764705882;14
2015;Waidberg;Sekundarstufe B;212;29.4;0.3113207547169812;7
2015;Zürichberg;Sekundarstufe A;451;85.1;0.7272727272727273;18
2015;Zürichberg;Sekundarstufe B;79;14.9;0.35443037974683544;5
2016;Glattal;Sekundarstufe A;677;53.3;0.42836041358936483;21
2016;Glattal;Sekundarstufe B;594;46.7;0.17508417508417506;16
2016;Letzi;Sekundarstufe A;422;52.9;0.3459715639810427;21
2016;Letzi;Sekundarstufe B;375;47.1;0.18400000000000005;18
2016;Limmattal;Sekundarstufe A;277;49.2;0.2707581227436823;11
2016;Limmattal;Sekundarstufe B;286;50.8;0.08041958041958042;11
2016;Schwamendingen;Sekundarstufe A;362;46.1;0.2624309392265194;16
2016;Schwamendingen;Sekundarstufe B;424;53.9;0.14150943396226412;16
2016;Uto;Sekundarstufe A;499;59.6;0.5951903807615231;22
2016;Uto;Sekundarstufe B;338;40.4;0.21597633136094674;17
2016;Waidberg;Sekundarstufe A;520;69.8;0.6692307692307693;15
2016;Waidberg;Sekundarstufe B;225;30.2;0.26222222222222225;7
2016;Zürichberg;Sekundarstufe A;486;84.7;0.7345679012345678;19
2016;Zürichberg;Sekundarstufe B;88;15.3;0.28409090909090906;5
2017;Glattal;Sekundarstufe A;684;55;0.41959064327485385;20
2017;Glattal;Sekundarstufe B;559;45;0.17889087656529512;16
2017;Letzi;Sekundarstufe A;448;55.9;0.3727678571428571;21
2017;Letzi;Sekundarstufe B;353;44.1;0.1954674220963173;18
2017;Limmattal;Sekundarstufe A;306;51.5;0.2941176470588235;10
2017;Limmattal;Sekundarstufe B;288;48.5;0.10763888888888884;9
2017;Schwamendingen;Sekundarstufe A;391;50.6;0.30179028132992325;17
2017;Schwamendingen;Sekundarstufe B;382;49.4;0.15968586387434558;15
2017;Uto;Sekundarstufe A;551;63.3;0.6134301270417423;21
2017;Uto;Sekundarstufe B;319;36.7;0.19122257053291536;18
2017;Waidberg;Sekundarstufe A;550;70.1;0.6909090909090909;15
2017;Waidberg;Sekundarstufe B;235;29.9;0.25531914893617025;7
2017;Zürichberg;Sekundarstufe A;518;86.5;0.7548262548262548;19
2017;Zürichberg;Sekundarstufe B;81;13.5;0.33333333333333337;4
2018;Glattal;Sekundarstufe A;727;58.1;0.41403026134800547;20
2018;Glattal;Sekundarstufe B;525;41.9;0.19999999999999996;15
2018;Letzi;Sekundarstufe A;442;56.8;0.3891402714932126;20
2018;Letzi;Sekundarstufe B;336;43.2;0.21130952380952384;18
2018;Limmattal;Sekundarstufe A;502;65.2;0.5179282868525896;16
2018;Limmattal;Sekundarstufe B;268;34.8;0.11194029850746268;9
2018;Schwamendingen;Sekundarstufe A;413;51.8;0.3196125907990315;18
2018;Schwamendingen;Sekundarstufe B;384;48.2;0.16927083333333337;14
2018;Uto;Sekundarstufe A;581;63.4;0.6471600688468158;22
2018;Uto;Sekundarstufe B;335;36.6;0.22985074626865676;18
2018;Waidberg;Sekundarstufe A;544;70.3;0.6801470588235294;14
2018;Waidberg;Sekundarstufe B;230;29.7;0.29565217391304344;6
2018;Zürichberg;Sekundarstufe A;370;79.6;0.7567567567567568;17
2018;Zürichberg;Sekundarstufe B;95;20.4;0.3052631578947368;5
2019;Glattal;Sekundarstufe A;741;58.4;0.4251012145748988;20
2019;Glattal;Sekundarstufe B;528;41.6;0.21590909090909094;15
2019;Letzi;Sekundarstufe A;481;60.4;0.4282744282744283;21
2019;Letzi;Sekundarstufe B;315;39.6;0.23809523809523814;18
2019;Limmattal;Sekundarstufe A;501;66.5;0.562874251497006;16
2019;Limmattal;Sekundarstufe B;252;33.5;0.09523809523809523;8
2019;Schwamendingen;Sekundarstufe A;445;54;0.30561797752808983;19
2019;Schwamendingen;Sekundarstufe B;379;46;0.18733509234828494;14
2019;Uto;Sekundarstufe A;625;65.7;0.6496;22
2019;Uto;Sekundarstufe B;327;34.3;0.23241590214067276;17
2019;Waidberg;Sekundarstufe A;564;71.7;0.6790780141843972;13
2019;Waidberg;Sekundarstufe B;223;28.3;0.36322869955156956;6
2019;Zürichberg;Sekundarstufe A;405;81.2;0.7654320987654322;17
2019;Zürichberg;Sekundarstufe B;94;18.8;0.32978723404255317;5
