Jahr;Schulgemeinde;Bildungsart_2;students;per;daz;acs
2011;Letzi;Sekundarstufe B;374;51.4;0.786096256684492;18
2011;Limmattal;Sekundarstufe A;294;46.2;0.8061224489795918;20
2011;Limmattal;Sekundarstufe B;342;53.8;0.9239766081871345;17
2011;Schwamendingen;Sekundarstufe A;393;50.3;0.732824427480916;18
2011;Schwamendingen;Sekundarstufe B;388;49.7;0.7989690721649485;15
2011;Uto;Sekundarstufe A;488;56.3;0.4077868852459016;22
2011;Uto;Sekundarstufe B;379;43.7;0.7651715039577837;17
2011;Waidberg;Sekundarstufe A;465;68.4;0.36989247311827955;20
2011;Waidberg;Sekundarstufe B;215;31.6;0.7209302325581395;16
2011;Zürichberg;Sekundarstufe A;491;88.8;0.2953156822810591;21
2011;Zürichberg;Sekundarstufe B;62;11.2;0.532258064516129;3
2012;Glattal;Sekundarstufe A;565;51.7;0.5610619469026549;22
2012;Glattal;Sekundarstufe B;527;48.3;0.8330170777988615;16
2012;Letzi;Sekundarstufe A;350;48;0.6085714285714285;21
2012;Letzi;Sekundarstufe B;379;52;0.7810026385224275;18
2012;Limmattal;Sekundarstufe A;293;47.4;0.8020477815699659;19
2012;Limmattal;Sekundarstufe B;325;52.6;0.9507692307692308;16
2012;Schwamendingen;Sekundarstufe A;366;50.1;0.7513661202185792;17
2012;Schwamendingen;Sekundarstufe B;364;49.9;0.8186813186813187;15
2012;Uto;Sekundarstufe A;500;58.1;0.422;22
2012;Uto;Sekundarstufe B;360;41.9;0.775;17
2012;Waidberg;Sekundarstufe A;521;72.6;0.3550863723608445;22
2012;Waidberg;Sekundarstufe B;197;27.4;0.7360406091370558;15
2012;Zürichberg;Sekundarstufe A;489;88.3;0.25971370143149286;18
2012;Zürichberg;Sekundarstufe B;65;11.7;0.676923076923077;4
2013;Glattal;Sekundarstufe A;603;50.8;0.5671641791044776;21
2013;Glattal;Sekundarstufe B;585;49.2;0.8068376068376069;15
2013;Letzi;Sekundarstufe A;340;47.4;0.6029411764705882;19
2013;Letzi;Sekundarstufe B;378;52.6;0.8095238095238095;18
2013;Limmattal;Sekundarstufe A;288;46.2;0.7916666666666666;18
2013;Limmattal;Sekundarstufe B;336;53.8;0.9404761904761905;16
2013;Schwamendingen;Sekundarstufe A;366;50.4;0.76775956284153;16
2013;Schwamendingen;Sekundarstufe B;360;49.6;0.8444444444444444;16
2013;Uto;Sekundarstufe A;490;57.8;0.45510204081632655;22
2013;Uto;Sekundarstufe B;358;42.2;0.7960893854748603;17
2013;Waidberg;Sekundarstufe A;547;74.4;0.3491773308957952;20
2013;Waidberg;Sekundarstufe B;188;25.6;0.6861702127659575;12
2013;Zürichberg;Sekundarstufe A;476;86.9;0.27521008403361347;17
2013;Zürichberg;Sekundarstufe B;72;13.1;0.5694444444444444;4
2014;Glattal;Sekundarstufe A;616;50.1;0.5616883116883117;21
2014;Glattal;Sekundarstufe B;614;49.9;0.8045602605863192;15
2014;Letzi;Sekundarstufe A;367;49.7;0.6267029972752044;21
2014;Letzi;Sekundarstufe B;371;50.3;0.8328840970350404;18
2014;Limmattal;Sekundarstufe A;281;46.3;0.7651245551601423;17
2014;Limmattal;Sekundarstufe B;326;53.7;0.9325153374233128;16
2014;Schwamendingen;Sekundarstufe A;362;50.2;0.7734806629834254;16
2014;Schwamendingen;Sekundarstufe B;359;49.8;0.8328690807799443;16
2014;Uto;Sekundarstufe A;481;57.9;0.43243243243243246;21
2014;Uto;Sekundarstufe B;350;42.1;0.7914285714285715;17
2014;Waidberg;Sekundarstufe A;504;70.5;0.3630952380952381;16
2014;Waidberg;Sekundarstufe B;211;29.5;0.6492890995260664;10
2014;Zürichberg;Sekundarstufe A;472;85.4;0.2584745762711864;18
2014;Zürichberg;Sekundarstufe B;81;14.6;0.6172839506172839;5
2015;Glattal;Sekundarstufe A;676;52.2;0.5680473372781065;22
2015;Glattal;Sekundarstufe B;620;47.8;0.8225806451612904;15
2015;Letzi;Sekundarstufe A;401;51.9;0.6408977556109726;21
2015;Letzi;Sekundarstufe B;372;48.1;0.8413978494623656;18
2015;Limmattal;Sekundarstufe A;272;49.2;0.7316176470588235;14
2015;Limmattal;Sekundarstufe B;281;50.8;0.9145907473309609;12
2015;Schwamendingen;Sekundarstufe A;385;49;0.7506493506493507;17
2015;Schwamendingen;Sekundarstufe B;401;51;0.8428927680798005;16
2015;Uto;Sekundarstufe A;486;57.6;0.4609053497942387;21
2015;Uto;Sekundarstufe B;358;42.4;0.8016759776536313;17
2015;Waidberg;Sekundarstufe A;510;70.6;0.34705882352941175;14
2015;Waidberg;Sekundarstufe B;212;29.4;0.6886792452830188;7
2015;Zürichberg;Sekundarstufe A;451;85.1;0.2727272727272727;18
2015;Zürichberg;Sekundarstufe B;79;14.9;0.6455696202531646;5
2016;Glattal;Sekundarstufe A;677;53.3;0.5716395864106352;21
2016;Glattal;Sekundarstufe B;594;46.7;0.8249158249158249;16
2016;Letzi;Sekundarstufe A;422;52.9;0.6540284360189573;21
2016;Letzi;Sekundarstufe B;375;47.1;0.816;18
2016;Limmattal;Sekundarstufe A;277;49.2;0.7292418772563177;11
2016;Limmattal;Sekundarstufe B;286;50.8;0.9195804195804196;11
2016;Schwamendingen;Sekundarstufe A;362;46.1;0.7375690607734806;16
2016;Schwamendingen;Sekundarstufe B;424;53.9;0.8584905660377359;16
2016;Uto;Sekundarstufe A;499;59.6;0.40480961923847697;22
2016;Uto;Sekundarstufe B;338;40.4;0.7840236686390533;17
2016;Waidberg;Sekundarstufe A;520;69.8;0.33076923076923076;15
2016;Waidberg;Sekundarstufe B;225;30.2;0.7377777777777778;7
2016;Zürichberg;Sekundarstufe A;486;84.7;0.2654320987654321;19
2016;Zürichberg;Sekundarstufe B;88;15.3;0.7159090909090909;5
2017;Glattal;Sekundarstufe A;684;55;0.5804093567251462;20
2017;Glattal;Sekundarstufe B;559;45;0.8211091234347049;16
2017;Letzi;Sekundarstufe A;448;55.9;0.6272321428571429;21
2017;Letzi;Sekundarstufe B;353;44.1;0.8045325779036827;18
2017;Limmattal;Sekundarstufe A;306;51.5;0.7058823529411765;10
2017;Limmattal;Sekundarstufe B;288;48.5;0.8923611111111112;9
2017;Schwamendingen;Sekundarstufe A;391;50.6;0.6982097186700768;17
2017;Schwamendingen;Sekundarstufe B;382;49.4;0.8403141361256544;15
2017;Uto;Sekundarstufe A;551;63.3;0.38656987295825773;21
2017;Uto;Sekundarstufe B;319;36.7;0.8087774294670846;18
2017;Waidberg;Sekundarstufe A;550;70.1;0.3090909090909091;15
2017;Waidberg;Sekundarstufe B;235;29.9;0.7446808510638298;7
2017;Zürichberg;Sekundarstufe A;518;86.5;0.24517374517374518;19
2017;Zürichberg;Sekundarstufe B;81;13.5;0.6666666666666666;4
2018;Glattal;Sekundarstufe A;727;58.1;0.5859697386519945;20
2018;Glattal;Sekundarstufe B;525;41.9;0.8;15
2018;Letzi;Sekundarstufe A;442;56.8;0.6108597285067874;20
2018;Letzi;Sekundarstufe B;336;43.2;0.7886904761904762;18
2018;Limmattal;Sekundarstufe A;502;65.2;0.4820717131474104;16
2018;Limmattal;Sekundarstufe B;268;34.8;0.8880597014925373;9
2018;Schwamendingen;Sekundarstufe A;413;51.8;0.6803874092009685;18
2018;Schwamendingen;Sekundarstufe B;384;48.2;0.8307291666666666;14
2018;Uto;Sekundarstufe A;581;63.4;0.3528399311531842;22
2018;Uto;Sekundarstufe B;335;36.6;0.7701492537313432;18
2018;Waidberg;Sekundarstufe A;544;70.3;0.31985294117647056;14
2018;Waidberg;Sekundarstufe B;230;29.7;0.7043478260869566;6
2018;Zürichberg;Sekundarstufe A;370;79.6;0.24324324324324326;17
2018;Zürichberg;Sekundarstufe B;95;20.4;0.6947368421052632;5
2019;Glattal;Sekundarstufe A;741;58.4;0.5748987854251012;20
2019;Glattal;Sekundarstufe B;528;41.6;0.7840909090909091;15
2019;Letzi;Sekundarstufe A;481;60.4;0.5717255717255717;21
2019;Letzi;Sekundarstufe B;315;39.6;0.7619047619047619;18
2019;Limmattal;Sekundarstufe A;501;66.5;0.437125748502994;16
2019;Limmattal;Sekundarstufe B;252;33.5;0.9047619047619048;8
2019;Schwamendingen;Sekundarstufe A;445;54;0.6943820224719102;19
2019;Schwamendingen;Sekundarstufe B;379;46;0.8126649076517151;14
2019;Uto;Sekundarstufe A;625;65.7;0.3504;22
2019;Uto;Sekundarstufe B;327;34.3;0.7675840978593272;17
2019;Waidberg;Sekundarstufe A;564;71.7;0.32092198581560283;13
2019;Waidberg;Sekundarstufe B;223;28.3;0.6367713004484304;6
2019;Zürichberg;Sekundarstufe A;405;81.2;0.2345679012345679;17
2019;Zürichberg;Sekundarstufe B;94;18.8;0.6702127659574468;5
