Jahr;Schulgemeinde;Land;country_n;per_n;rank;diff_c
2001;Limmattal;Bangladesh;4;0.001119507416736636;4399;66
2001;Limmattal;Bolivien;4;0.001119507416736636;4399;66
2001;Limmattal;Bosnien-Herzegowina;116;0.03246571508536244;468;66
2001;Limmattal;Brasilien;20;0.00559753708368318;1650;66
2001;Limmattal;Bulgarien;6;0.0016792611251049538;3495;66
2001;Limmattal;Chile;5;0.001399384270920795;3919;66
2001;Limmattal;China;4;0.001119507416736636;4399;66
2001;Limmattal;Deutschland;13;0.003638399104394067;2166;66
2001;Limmattal;Dominikanische Republik;34;0.009515813042261404;1242;66
2001;Limmattal;Ecuador;4;0.001119507416736636;4399;66
2001;Limmattal;Eritrea;3;8.396305625524769e-4;5028;66
2001;Limmattal;Finnland;1;2.79876854184159e-4;7272;66
2001;Limmattal;Frankreich;1;2.79876854184159e-4;7272;66
2001;Limmattal;Ghana;3;8.396305625524769e-4;5028;66
2001;Limmattal;Griechenland;12;0.0033585222502099076;2274;66
2001;Limmattal;Grossbritannien;2;5.59753708368318e-4;5887;66
2001;Limmattal;Honduras;1;2.79876854184159e-4;7272;66
2001;Limmattal;Indien;5;0.001399384270920795;3919;66
2001;Limmattal;Indonesien;1;2.79876854184159e-4;7272;66
2001;Limmattal;Irak;9;0.0025188916876574307;2733;66
2001;Limmattal;Iran;8;0.002239014833473272;2923;66
2001;Limmattal;Italien;224;0.0626924153372516;244;66
2001;Limmattal;Japan;2;5.59753708368318e-4;5887;66
2001;Limmattal;Kamerun;5;0.001399384270920795;3919;66
2001;Limmattal;Kenya;6;0.0016792611251049538;3495;66
2001;Limmattal;Kolumbien;7;0.0019591379792891126;3180;66
2001;Limmattal;Kongo (Brazzaville);8;0.002239014833473272;2923;66
2001;Limmattal;Kroatien;100;0.027987685418415897;543;66
2001;Limmattal;Kuba;3;8.396305625524769e-4;5028;66
2001;Limmattal;Libanon;2;5.59753708368318e-4;5887;66
2001;Limmattal;Libyen;4;0.001119507416736636;4399;66
2001;Limmattal;Mittel- und Südamerika;4;0.001119507416736636;4399;66
2001;Limmattal;Nigeria;2;5.59753708368318e-4;5887;66
2001;Limmattal;Nordmazedonien;236;0.06605093758746151;231;66
2001;Limmattal;Österreich;8;0.002239014833473272;2923;66
2001;Limmattal;Pakistan;17;0.004757906521130702;1816;66
2001;Limmattal;Peru;11;0.0030786453960257487;2428;66
2001;Limmattal;Philippinen;14;0.003918275958578225;2063;66
2001;Limmattal;Polen;1;2.79876854184159e-4;7272;66
2001;Limmattal;Portugal;234;0.0654911838790932;234;66
