Jahr;Schulgemeinde;Schulart;students;per;esd;acs
2018;Limmattal;Primarschule;1757;70.8;0.4667046101309049;19
2018;Schwamendingen;Kindergarten;751;28.6;0.3155792276964048;19
2018;Schwamendingen;Primarschule;1875;71.4;0.32799999999999996;19
2018;Uto;Kindergarten;1193;27;0.6169321039396479;20
2018;Uto;Primarschule;3223;73;0.6363636363636364;21
2018;Waidberg;Kindergarten;1289;28.1;0.7090768037238169;21
2018;Waidberg;Primarschule;3297;71.9;0.7388535031847134;22
2018;Zürichberg;Kindergarten;860;25.2;0.6848837209302325;20
2018;Zürichberg;Primarschule;2557;74.8;0.7602659366445053;22
2019;Glattal;Kindergarten;1647;29.3;0.3691560412871888;20
2019;Glattal;Primarschule;3977;70.7;0.41941161679658034;20
2019;Letzi;Kindergarten;1065;28.7;0.5051643192488262;20
2019;Letzi;Primarschule;2648;71.3;0.4739425981873112;20
2019;Limmattal;Kindergarten;821;29.5;0.535931790499391;20
2019;Limmattal;Primarschule;1962;70.5;0.4933741080530072;20
2019;Schwamendingen;Kindergarten;769;28.8;0.3328998699609883;18
2019;Schwamendingen;Primarschule;1899;71.2;0.3285939968404423;19
2019;Uto;Kindergarten;1264;27.7;0.6194620253164558;20
2019;Uto;Primarschule;3299;72.3;0.6395877538648076;21
2019;Waidberg;Kindergarten;1311;28.2;0.7009916094584288;20
2019;Waidberg;Primarschule;3342;71.8;0.7307001795332136;22
2019;Zürichberg;Kindergarten;876;25;0.6940639269406392;20
2019;Zürichberg;Primarschule;2628;75;0.74809741248097406;22
